Sample ID,Group,Island,Ocean,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U
12852,Caroline,Ponape,Pacific,6.9,158.25,44.64959351,2.873066413,8.787620536,12.40992114,0.167933486,16.83638895,10.76544375,2.070706893,0.830926837,0.473132222,22.41648992,567.1070968,252.1225158,39.15190936,299.4192639,33.72678394,76.78956857,40.36580972,8.837459436,1.541194602,0.193428159,5.424846798,1.839949322,2.964112471,0.76213739
12853,Caroline,Ponape,Pacific,6.9,158.25,44.62694536,2.858020024,8.678284483,12.45349692,0.165207269,16.89960145,10.78663862,2.105572576,0.81980254,0.471692357,22.28196124,560.9111455,253.6779861,39.06433858,298.4009786,33.8417851,77.37127753,40.29440741,8.772857484,1.523784516,0.188783275,5.387539565,1.950994,2.916316926,0.799824765
12918,Caroline,Ponape,Pacific,5.8855,158.2898,45.25687225,2.57817326,9.380094181,12.3529825,0.170091096,16.75936561,10.65823509,1.801312255,0.628968321,0.317865711,12.00375082,435.5469758,151.1808544,25.35761496,233.878518,19.97494986,43.28870542,24.03225204,5.708929237,1.284412165,0.180854208,3.903811793,1.329606685,2.146261563,0.579726285
38424,Marquesas,Ua Huka,Pacific,-9.0,-140.0,49.804159,2.162300669,11.19530326,9.886034469,0.147954071,13.41228415,8.316401813,2.595962212,1.953022592,0.392173211,46.69996656,416.6415627,310.7251614,35.64690478,355.3721749,34.92962876,75.3109699,39.82154551,8.992752285,2.352261038,0.329484332,7.421420434,3.422794969,5.217855643,1.161071896
38425,Marquesas,Ua Huka,Pacific,-9.0,-140.0,45.56504941,2.259977261,10.95344991,11.55422254,0.154480351,15.68068891,10.4102144,2.05601753,0.992283503,0.274786201,29.86384884,427.7429226,138.6240865,23.77138019,264.1230208,20.59217758,43.69068168,23.55262388,5.535518261,1.34377177,0.193441833,3.570734114,1.839981738,3.099924486,0.755751332
38426,Marquesas,Ua Huka,Pacific,-8.9319,-139.5289,45.32782848,2.790518225,9.682247386,12.12231597,0.153607064,16.44515038,10.23487113,1.925089699,0.780219918,0.420118418,23.04715065,524.5214629,191.2375332,26.09194705,274.6028568,27.15804774,59.5841117,33.16555845,7.810076554,1.40479189,0.198773215,4.85661632,2.324316166,3.527143426,0.80282747
38427,Marquesas,Ua Huka,Pacific,-8.9319,-139.5289,46.63124452,2.531657731,9.948743305,11.7156032,0.158006365,15.89822492,9.960378346,1.506674799,1.219863429,0.319150316,27.75050452,421.5131799,203.7326656,28.51132759,288.6570363,27.0144538,56.83965369,29.45627507,6.777619883,1.578328409,0.220530439,5.151138283,2.652874615,4.050844802,0.624148336
38934,Marquesas,Ua Huka,Pacific,-8.924,-139.5305,46.33119698,2.547860397,10.00617875,11.47236248,0.150963314,15.56845658,10.37842463,1.940372116,1.12789378,0.350747456,37.61735717,498.9969695,226.2983812,33.87923216,313.4137707,28.36450792,61.74624591,32.85849808,7.257906987,1.82361325,0.232904335,5.289881897,2.872396846,3.904815401,0.878682812
38936,Marquesas,Ua Huka,Pacific,-8.9228,-139.5744,46.98556101,2.110943593,10.54066117,11.36400701,0.164263198,15.42340323,9.562820125,2.133556843,1.245576107,0.353682104,39.67610043,460.1500343,195.471929,29.92430975,301.5382598,25.93310451,55.31417954,27.62382042,6.04566098,1.803665448,0.234620679,4.485721866,2.657476779,3.762512124,0.634773555
38938,Marquesas,Fatu Hiva,Pacific,-10.4844,-138.6185,46.95750685,2.801069635,10.92083697,10.98514663,0.141720785,14.9120587,9.253533617,2.500955032,1.025391563,0.391816288,21.44055741,478.6189371,216.7264739,31.93662025,214.2344615,26.26607202,58.77044786,31.76598686,7.116919035,1.647376028,0.217008944,5.286904882,1.970425794,3.176558429,0.464581392
38940,Marquesas,Fatu Hiva,Pacific,-10.4227,-138.6811,45.54345992,3.17294263,10.57647543,11.7594202,0.155000071,15.95455136,9.117651235,2.188236297,0.948235728,0.455882562,24.24253748,578.1244822,260.8437875,45.00310291,206.832145,33.02354313,73.22294402,38.47322266,8.312817342,1.640797528,0.193641029,5.610962822,2.036309519,3.161440318,0.723906679
38942,Marquesas,Fatu Hiva,Pacific,-10.4688,-138.6587,46.44559678,3.103347352,11.31428722,10.94332925,0.12930614,14.85734137,9.293878789,2.262857444,1.042530751,0.468734756,26.38757977,620.9084596,261.3926024,45.85028734,252.7995506,36.68749338,79.02695581,40.90465331,8.725226901,1.94903088,0.241269389,5.780018544,2.591148188,3.791076218,0.866093449
38433,Marquesas,Nuku Hiva,Pacific,-8.9269,-140.0947,46.20911779,3.184471628,10.60104785,12.03639913,0.141347305,16.34325727,7.915449059,1.987176812,1.114149342,0.357525535,27.62248039,495.5797504,198.7251024,28.40547596,226.9665837,23.51122368,51.57846247,29.13169638,6.892494337,1.401292958,0.192158557,5.080461461,1.654802575,3.175849231,0.665098593
38418,Marquesas,Ua Pou,Pacific,-9.42,-140.0,43.51175056,2.75304853,10.73251935,12.44114665,0.166056895,16.89341232,10.67134049,1.520731569,0.847764151,0.323373954,40.04652033,716.6814259,142.4593117,30.96675826,315.4787129,30.39414505,62.82455205,30.79643925,6.336031114,1.340252623,0.201716184,4.116511388,2.019031257,4.037409754,0.856419575
38428,Marquesas,Hiva Oa,Pacific,-9.8056,-139.0303,45.95521997,2.882609118,10.84167663,11.68956884,0.132773655,15.86681703,9.223153337,1.826951871,1.124105683,0.349384199,27.59936425,500.8292434,187.2808932,23.63870273,217.257386,23.02426973,50.66147651,28.33074115,6.736276953,1.456965381,0.210814463,4.816984604,2.058861207,2.765336811,0.729260586
