Sample ID,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U,Island,Group,Ocean
3528,38.58,-28.7,48.23113803473294,2.523722339026724,16.53438722909969,9.236128735717458,0.15022156779920975,7.551137474706944,9.744372364575407,3.835657364473156,1.7025111017243773,0.4907237881440852,35.5,606.0,213.0,46.2,421.0,36.5,74.9,35.6,7.07,2.01,0.299,6.06,3.02,4.8,1.38,Faial,Azores,Atlantic
3606,38.55,-28.73,47.781604538087535,2.6843598055105353,16.025121555915725,9.866288492706648,0.16207455429497575,8.235413290113454,9.704213938411673,3.50486223662885,1.5700972447325774,0.4659643435980553,20.0,697.0,240.0,47.0,438.0,36.2,76.3,35.8,7.13,2.24,0.31,5.35,4.0,3.727,1.144,Faial,Azores,Atlantic
3607,38.55,-28.73,48.34523689769642,2.6154310431546124,16.255909868222513,9.35519565436073,0.15089025248968918,7.876471179961775,9.35519565436073,3.9835026657277943,1.559199275726788,0.502967508298964,24.0,664.0,251.0,48.0,413.0,36.1,77.9,36.9,7.15,2.22,0.3,5.57,4.0,3.986,1.05,Faial,Azores,Atlantic
3608,38.55,-28.73,47.38955823293172,2.560240963855421,15.261044176706823,9.68875502008032,0.15060240963855417,9.769076305220882,10.803212851405618,2.9718875502008024,1.0140562248995981,0.3915662650602409,21.0,538.0,186.0,35.0,296.0,25.5,53.0,28.4,6.0,1.89,0.3,4.18,2.0,2.452,0.755,Faial,Azores,Atlantic
3062,39.0325,-27.9819,47.20293997550021,3.3380971825234793,17.24173131890568,9.687627603103307,0.15312372396896692,7.166190281747651,10.718660677827685,2.9195590036749692,1.102490812576562,0.4695794201714986,23.0,639.0,224.0,40.7,303.0,26.5,58.2,30.3,6.45,1.8,0.25,5.02,1.46,2.47,0.77,Graciosa,Azores,Atlantic
3267,39.0994,-28.2735,46.62726716934991,2.7817403708987163,15.386183003872024,9.659669859384556,0.1630324026900347,9.85327083757897,11.300183411453029,2.904014672916243,0.9272467902995722,0.39739148155695947,15.4,491.0,172.0,33.7,280.0,25.6,55.1,30.0,6.59,2.03,0.29,5.32,1.78,2.69,0.71,Graciosa,Azores,Atlantic
3268,39.1671,-28.2993,46.021419277349615,4.6641977780002,14.613151836652987,11.120008007206486,0.1501351216094485,5.885296767090382,11.63046742067861,2.952657391652487,2.1419277349614654,0.8207386647983185,22.3,684.0,279.0,57.5,275.0,34.2,83.8,39.5,7.87,2.03,0.28,6.35,1.96,3.48,1.04,Graciosa,Azores,Atlantic
3696,39.05,-28.05,48.540634894860766,2.6183323861329875,17.04960623528457,9.783226435008526,0.1613623447268004,7.347568401396446,10.21961516603069,2.5371437850125846,1.2076804416659903,0.5348299098806529,22.0,558.0,200.0,45.0,284.0,26.6,56.4,28.8,5.8,1.98,0.31,4.3,0.9,2.91,0.83,Graciosa,Azores,Atlantic
3702,39.05,-28.05,48.762662660630546,3.0755800970381046,16.68730587303843,10.576747396414868,0.17154225623743885,6.475973933697396,9.785013906088228,2.568058628880001,1.299254958484744,0.5978602894902454,26.0,577.0,258.0,59.0,336.0,38.2,81.2,42.8,9.1,2.57,0.38,5.8,1.9,3.71,1.19,Graciosa,Azores,Atlantic
3711,39.05,-28.05,47.63257191544611,3.032823467359111,17.67963646691281,9.849068852192966,0.15316265671278453,7.140828498397371,10.589524080009738,2.3329411287377773,1.1461841197711689,0.44325881446017773,26.0,627.0,198.0,49.0,296.0,30.5,66.6,33.8,7.0,2.24,0.33,5.9,1.4,3.17,0.98,Graciosa,Azores,Atlantic
