Group,Island,Ocean,Sample ID,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U,ol added (%),cpx added (%)
Iceland,Iceland,Atlantic,34808,64.819,-23.387,44.95013968456322,2.567216706456834,11.19462072906475,12.48537701077492,0.16336833586543462,16.941272801966136,8.487374020437596,1.9993172532103218,0.7312677891119478,0.38119278368601406,13.137032112116772,369.21427211678673,148.14019035956764,37.69112265567403,300.8307687488803,24.480593643003992,52.64492178033618,27.781020358137255,5.625647061567336,1.9352631100762356,0.28594729757445203,3.346665128624873,1.2359365682977606,1.7036689811800143,0.47579870632631255,34.03446393077895,0.0
Iceland,Vestmannaeyjar,Atlantic,29457,63.411,-20.272,45.69728814044491,1.7458703166880807,11.405580292335895,12.597033649639256,0.15097335041084978,17.094479927462267,8.283757880270954,2.2904485949128284,0.4559279618450973,0.2212591579542393,10.369951040248836,257.5997700692535,115.33255704904661,13.356245503516218,114.18931285610249,10.733475452961775,25.264878334066676,15.632189836350559,4.035776486367317,1.9827644185504012,0.28898920724056143,2.608950586573893,1.2757131722318626,0.856540746818185,0.28016559684006204,45.28987598490425,9.963772716678934
Iceland,Vestmannaeyjar,Atlantic,34817,63.442,-20.283,46.51408193455075,1.6980820713162499,13.212692273686224,10.773223168660682,0.1604398138995699,14.624247562040171,9.94734326346128,2.370855817098325,0.4233933906760071,0.2201645631515228,8.082158418586202,265.3754108640204,109.84840084642559,12.963062524765594,99.2895355284593,10.115119463858953,23.458713041731304,14.732990119995625,3.7641847050618042,1.9424829839282256,0.28276045501839187,2.7245338574426503,1.0544843913969255,0.8499018230606324,0.2776755683639037,16.751333992238727,3.6852934782925195
Azores,Sao Miguel,Atlantic,1656,37.8193,-25.7463,46.497683241007906,2.6500396806333013,10.72983086819436,10.36097126407717,0.15751461969586925,14.05819338425397,12.057375198107437,2.0724104898746694,0.898239736098811,0.40829078913582245,14.797810644157694,442.25153257235803,172.64056424792255,39.55008615301996,295.3323666842596,25.245326522120006,60.19401566220502,28.119688240951156,5.95012620966547,1.4228801191334233,0.19727805781914604,4.136108392979628,1.41567825380875,2.478287979389881,0.7755394671619157,5.8402753577092845,5.8402753577092845
Azores,Sao Miguel,Atlantic,1657,37.8984,-25.8223,46.34183821476925,2.8058863417996935,10.227312174395264,10.798237706660588,0.1573998451077182,14.654949390332902,11.369186561058086,2.088504048782737,0.9328229403866184,0.4913342205089797,18.330765602006842,554.5895500061572,173.7798433263414,41.455604043228476,387.03626762443434,29.526689294941015,68.78601577092881,33.80776141929841,6.833841250947882,1.5202098664519625,0.20749544087070557,4.273469052904041,1.5007524888359955,2.8622800800395547,0.7750167141822303,22.23545819542418,22.23545819542418
Azores,Sao Miguel,Atlantic,1659,37.731,-25.5172,46.3396734613083,2.726235903706208,9.802182870354065,11.194670795225354,0.1684149171131532,15.189361800245136,11.008172516094985,1.8990538596970692,1.2028749234719445,0.34592481459323937,28.408443102550745,473.5321796926045,220.36218661121077,40.76496761563213,315.17399667074784,31.733546961950843,68.85878536747904,34.92422765694632,7.516687315025268,1.6857426610644013,0.2283955085053266,5.636590768442467,0.7441546161539487,3.784572097291524,0.9869052598548803,14.745124598048184,14.745124598048184
Azores,Sao Miguel,Atlantic,1660,37.8497,-25.193,47.7494103533125,2.6133445670705107,9.007130063431054,11.28075480239159,0.1601348007956146,15.31156441019399,10.546000987445868,1.7920964817673506,1.0795012637907477,0.35724502254945534,26.284758369290866,357.5397248064169,203.7204350425039,33.93809724777121,263.50514002493236,28.481185493189237,62.04558024471918,32.482438034620564,7.310561273518708,1.866567179390775,0.2664667012845549,5.289628805971729,1.0800275814878295,3.475772163425775,0.88608954475586,15.657701352876652,15.657701352876652
Azores,Sao Miguel,Atlantic,1661,37.7893,-25.6791,46.574623372107396,2.6759769526353194,10.560079407453843,10.69309094040003,0.16090323875757936,14.512428334350908,11.412326732621935,2.0440680968534393,0.8426340493084855,0.4095043977947768,22.448884956459956,475.3609063797286,166.26735012814683,37.67224805241039,317.1163486019294,25.34032708355183,54.59605797062188,28.339341725714103,6.343726747894936,1.4777958626821281,0.20751815038502816,4.124277973850702,0.7519138037553094,2.8056492078366557,0.7924305178247837,14.842290851881845,14.842290851881845
Azores,Sao Miguel,Atlantic,1662,37.7611,-25.5159,46.98437856281864,2.67650144956647,9.806550243913911,10.928138233212485,0.15725394862458741,14.828715123975181,10.987241377695298,1.8871742087536236,1.2428551537563461,0.3785708226958991,38.916185869377685,417.6253875888775,202.47572135816756,36.471504794228146,372.6750133670535,33.98468916463103,69.94666561160643,32.915704514335125,7.0509954804012125,1.670993710427513,0.23271560368276997,5.740442843598177,1.3835371213907126,4.095875134272853,1.0233177134672187,21.803450757125837,21.803450757125837
Azores,Sao Miguel,Atlantic,1663,37.7244,-25.4566,46.263009914106526,2.8859058367260157,10.075893161462957,11.00657333947934,0.16344958373008095,14.934439280849753,10.45006414139694,2.1747109338538033,1.160868734665575,0.7318520283761227,36.138459066661206,612.605293628952,244.2510320525573,46.318399824862965,401.23315893446573,39.48875544445298,85.93304305029476,42.95937073400166,8.925275724192703,1.7628490409354598,0.24427508504600826,5.9022570811476065,1.526319934732819,3.988074156451302,1.0538897699865908,10.459608940194588,10.459608940194588
Azores,Sao Miguel,Atlantic,1664,37.8051,-25.7905,46.76353811797578,2.5453596957774582,10.679111307934242,10.361236469601627,0.15754577982602969,14.058896018207163,12.117962736171247,1.9032689474854994,0.8577847119598111,0.4324964934251166,20.291901837793716,544.0437606934709,159.45347173505087,37.8706329491848,330.98236757734884,30.5897820844653,58.25609278085351,30.290225060844257,6.339706142749738,1.4590693855586074,0.2006181252009774,3.9045415976113014,1.2199715171165777,2.4440487033867666,0.6510261696946842,21.124716734272706,21.124716734272706
Azores,Sao Miguel,Atlantic,1665,37.8055,-25.7887,46.69498517230973,2.7180863036340446,10.674918339026751,10.396863788532402,0.16364757739687585,14.10691701250754,11.588219762965908,2.090507216933848,1.0261212573580707,0.4205414989172417,19.28408299337828,489.506555871195,181.69937568814004,42.5821574398455,312.9342183112307,28.131618200894238,69.5067935389187,30.719434318277816,6.228028378223341,1.4482631147813374,0.2053072788436223,4.397208154686284,1.5293940988526218,2.9418194569548284,0.8064473319054605,10.610909187160832,10.610909187160832
Azores,Sao Miguel,Atlantic,1667,37.7653,-25.1584,47.81816529586739,2.4797331644560843,10.01216899755265,11.109717972437238,0.15518714256756186,15.075417039498618,9.885878483286994,1.7656033417873962,1.249765059358396,0.3396797340820246,30.800267286500155,340.7312832673377,207.08447130651496,39.475960670811084,314.7077673634258,29.93230635916976,71.6096677974752,32.22674603298047,6.605534157817816,1.8682939336976474,0.27144624254148814,5.012653233772799,2.1032551708702263,3.6587953508398403,0.7492428827584062,32.220007432787526,32.220007432787526
Azores,Sao Miguel,Atlantic,1669,37.7136,-25.4963,47.99633547166391,2.5545692364953165,10.851285280785904,10.065884324986452,0.14955007417646143,13.659858620133985,9.7594601158266,2.321003862908869,2.015548897994483,0.45648319989422337,41.170037870853704,562.1738086498589,246.24474229271678,46.19485221845479,608.6390068455242,39.947397493019494,92.75226384756884,39.84001047146319,7.466529131573031,1.591849398022018,0.2245135729873009,5.805908489143486,2.8178374723338298,4.263930923153146,1.07646266131836,22.924791881163756,22.924791881163756
Azores,Sao Miguel,Atlantic,1670,37.7671,-25.5645,45.98806610552268,3.0768491690861697,9.238863742277529,11.380171506562476,0.1578072961596734,15.444832590232851,11.610749438689757,1.6249485894991769,1.0325718673207585,0.33215598529199186,25.984490897854496,435.94285199553815,208.0973742450206,35.88625145353456,264.8129810903777,29.495558157140838,74.60850872104145,34.96261882840227,7.106397651456495,1.608769376314315,0.22303247335652096,5.4478875878422794,1.906980689461528,3.015629175571088,0.7377612264601705,21.195859232186162,21.195859232186162
Azores,Sao Miguel,Atlantic,1671,37.7999,-25.648,46.041652275020255,2.8830972222274527,9.740750771851179,11.202059275650791,0.15660602072337237,15.198460274508783,11.500793994091927,1.9101880263621054,0.8519920565136039,0.39164150984899576,21.391568115522123,474.12708829423,190.42014121030286,44.72466946223219,345.278482648494,33.987765097805514,68.50055248471274,30.787544378815994,6.408483286169481,1.4856928510246048,0.20133932230073226,4.643980849900286,1.5463291877202654,3.2453756168568066,0.836719209231478,25.446226047142734,25.446226047142734
Azores,Sao Miguel,Atlantic,1672,37.7852,-25.6763,46.153296557603426,2.659428321506383,10.624685146690517,10.815586526948916,0.16551153380487774,14.673298417883979,11.447044141293398,1.9367908077584868,0.9884123985859121,0.4125547402793371,22.696465904722945,491.7289312246988,175.53742385269797,41.4910544575634,363.0908431951006,27.599498464020147,64.57685891774607,29.78535500717787,6.281727198669571,1.5040534186870675,0.20783927374569458,4.219987844274864,1.5129311066445248,2.8912056508818376,0.7899009309787953,9.828261244545484,9.828261244545484
Azores,Sao Miguel,Atlantic,1673,37.7467,-25.5158,46.135972739547334,2.821826209513587,9.37574444128399,11.252039810584336,0.15663576621775585,15.271329591392952,11.769422512513533,1.796768038391498,0.9232587143084114,0.37102920294636954,19.25003740183062,445.09349661298444,222.78247653565603,45.16470422659017,351.41393118739245,39.43863743736285,80.13944047964806,34.48583819172791,6.82623172235599,1.520163150651679,0.20920235027966433,5.622885766502486,2.5434286488391695,4.109354242925397,1.1299050474880352,9.35166322745325,9.35166322745325
Azores,Sao Miguel,Atlantic,1674,37.8189,-25.5424,47.38350746206697,2.6035132381738757,10.571024030223985,10.43942412486056,0.1515455462275726,14.16324204620355,10.369853026337585,2.211092897694244,1.630164696032375,0.36058942585047965,26.386176099490047,406.33182485794686,214.41481199958562,41.14870852171706,319.42748160736727,30.58137914562199,70.08195192378173,31.195483381167445,6.341550555928931,1.530220266608331,0.21264285130736946,5.208251701197055,2.5024403123077623,4.0085571645981934,1.0635828994791081,18.029812695178798,18.029812695178798
Azores,Sao Miguel,Atlantic,1716,37.516,-25.516,47.21073991914558,2.5739388636863927,10.672819184448084,10.532257513103204,0.16374290279870674,14.288482774876316,10.648604189370038,2.14303972893007,1.2275693011291537,0.40236993759233214,27.17250628251688,569.1685949085416,229.14282782697094,49.327791068496474,333.44121005593007,32.8086153420364,69.28041309854623,34.015500105468455,6.818925644938415,1.510758395917286,0.20652190790251587,5.409066418920497,1.4977466309437943,3.5415290022586934,1.0148425119149433,26.547888689109595,26.547888689109595
Azores,Sao Miguel,Atlantic,1718,37.516,-25.516,47.416789599300316,2.6647804650216806,10.46361306594658,10.24448079857175,0.15888963732227412,13.898886967888286,11.25085899557391,2.1528484705420654,1.1836749453513185,0.42702197395585356,28.981915208374755,540.9959603362533,231.04978967290265,45.10854388475151,384.26169925836666,31.76364706117383,66.41585260436287,33.650726656200504,6.84752752675639,1.5321798350731588,0.2114228158189421,4.889321367695396,1.5280477509963453,3.3938276144907142,0.920343666552525,18.234157415200265,18.234157415200265
Azores,Sao Miguel,Atlantic,1720,37.516,-25.516,47.12485211669218,2.73125744054743,10.267817641719008,10.154896405447355,0.1628641323127617,13.783299881519001,11.957888017657694,2.098214086600178,1.1557212190644572,0.43548915500979607,26.32445730365579,537.4592663565791,200.08490243711336,47.04246267305739,316.8124175406651,30.986826050035464,66.17145557362541,33.10013021818441,6.7415436533953415,1.4089914543619393,0.1959558580810365,5.12372624243837,1.3766656783760718,3.22309489718486,0.9471383645824802,10.520083664037019,10.520083664037019
Azores,Sao Miguel,Atlantic,1722,37.798,-25.701,47.455937823827284,2.149934546666414,10.995447471896917,10.064545721420593,0.15662859271116467,13.658127342402224,11.782910390430965,2.3011228166092375,0.9821919051359614,0.3416319670038125,27.892931092250635,446.3251103546545,149.61942777632515,34.243695618731536,343.64769719993416,23.505310696941343,48.7099378270596,25.073967937712965,5.533479307680801,1.6040265251211205,0.22327472062904793,3.7414287925096352,1.559747688771602,2.7889667558017304,0.7452166602769726,10.158140555175308,10.158140555175308
Azores,Sao Miguel,Atlantic,1723,37.75,-25.71,46.55000820807362,2.688638188388304,10.014893375720543,11.026851691249764,0.1591914280250654,14.964383390784713,11.37466815940457,1.9372763523382222,0.791377908797824,0.38822312507062917,16.65193511308525,462.29504830027656,155.4765251239682,33.69821247547819,264.3820139233576,22.651970303448483,48.22510091951575,25.417383811359873,5.5002852590768,1.344237902241421,0.19010848925571017,4.112100166364862,1.4378572252647228,2.7035510464829016,0.7953914082468792,18.816473524648003,18.816473524648003
Azores,Sao Miguel,Atlantic,1724,37.866,-25.938,47.06656827261678,2.579520713120508,11.593104846739081,9.884090245143849,0.16690511571634234,13.410430056797583,11.040091124743151,2.3882088402133443,1.2823992871635568,0.4460519259699326,26.39830611112349,578.9701156611807,241.03472859671263,44.4687167189692,374.1612471222428,33.96721205678237,70.15760743527086,35.73202382085972,7.428538892487178,1.6587447652060223,0.226290132975183,5.594258356174506,1.9039911884862122,3.5381236053567138,1.0558132951189105,4.0821067400158215,4.0821067400158215
Azores,Sao Miguel,Atlantic,1726,37.539,-25.49,46.11725601843589,2.8265332846076356,10.085870674829515,10.761352398090732,0.16787463239819506,14.599583593903976,11.869095348497389,1.9136792492287626,1.0705343844821726,0.46779653775691643,23.823500372423513,521.130602032922,177.3811368997862,38.26594433834232,304.1071035614338,28.624830476954404,61.123066059055326,31.569303113534627,6.600037361339872,1.4672364300027327,0.1938981622004927,4.845341090252247,1.4050028039139508,2.9251535217514353,0.7766214642275129,7.25352094211707,7.25352094211707
Azores,Sao Miguel,Atlantic,1727,37.54,-25.492,45.869641232118,2.846213129651621,10.523543451089406,10.762844271587651,0.1739696656281283,14.606565204641658,11.161373190525888,2.03114339915796,1.4191191492723942,0.4721338956905529,31.95321515899738,528.5828027376671,224.3222814098749,44.3736524278874,344.9353469896677,33.22088926730965,70.74187608960054,35.21418765888579,7.1112606179537075,1.5537945920160015,0.2152893132424759,5.897318188589104,1.8260892127992752,3.574235134841744,1.01186756815247,0.4519176095759019,0.4519176095759019
Azores,Sao Miguel,Atlantic,1728,37.534,-25.485,46.49109622008166,2.77545943607493,10.142348145372116,10.860009632339953,0.166647663148531,14.738375114787239,11.181157344028907,2.0718916508663545,0.9298449988962139,0.5092008327288786,23.925416860545308,589.6195170495272,182.99874609871213,41.553496796464835,357.20723462714307,29.870193464856552,63.461858568427026,33.04463061728158,6.819297574035385,1.4801717492514652,0.20594012505819015,4.486343789634963,1.3157018078800047,2.9348202967281987,0.7662473266448767,20.0660703155394,20.0660703155394
Azores,Sao Miguel,Atlantic,1729,37.75,-25.71,47.39629455982129,2.608782009530846,9.952365378326704,10.517617908109024,0.14058128548527313,14.269439976956386,11.998486662069812,1.7022087165295754,0.9915138683988695,0.3220841228556836,18.63252890293673,425.6301035233949,132.68291718360732,30.29827678945091,276.14646490379516,24.43300700158072,55.509043989822715,26.889312038346937,5.860024278266412,1.3110997790690953,0.18880846710985832,4.09311979749928,1.3929150343541663,2.4439741264922823,0.7435233497426905,31.932812084592676,31.932812084592676
Azores,Sao Miguel,Atlantic,1731,37.515,-25.513,46.5452165925656,2.714224787545742,11.031469946045773,10.345898692993854,0.16528851230422043,14.043762767357403,11.324709637362998,2.0630811133830136,1.2334835678421874,0.39981881164539756,29.353629418465733,560.2193724714882,181.12357056784282,41.23512297740845,378.8970256800246,29.578245048827956,61.08421777619448,30.831486951017457,6.384739464093441,1.4599086392854241,0.2019817352582948,4.448286628500679,1.6088712462823436,3.199739745813785,0.8295111876774828,10.610909187160832,10.610909187160832
